No.,Subject,Review
1,GFW0001,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic programming knowledge."
2,GFW0001,like!Prof and TAs are helpful and the discussion among students are quite active. Very rewarding learning experience!
3,GFW0001,Easy to follow and includes a lot basic and important techniques to use sketchup.
4,GFW0001,Really nice teacher!I could got the point eazliy but the v
5,GFW0001,"Great course - I recommend it for all, especially IT and Business Managers!"
6,GFW0001,One of the most useful course on IT Management!
7,GFW0001,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example."
8,GFW0001,tiada
9,GFW0001,Super content. I'll definitely re-do the course
10,GFW0002,-
11,GFW0001,Salah satu kursus yang sangat baik di Coursera untuk bos dan pengurus teknologi maklumat.
12,GFW0001,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov"
13,GFW0002,too burden
14,GFW0001,Too much work
15,GFW0001,Lecturer teaches too fast.
16,GFW0001,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material."
17,GFW0001,Very structured approach. Thank you for sharing with me.
18,GFW0001,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review."
19,GFW0001,N/A
20,GFW0001,Very relevant and useful course designed for CIOs
21,GFW0001,This course does not say anything about digitization which is the core subject of the digital wave.
22,GFW0002,
23,GFW0001,Videos that are presented in French could've been translated to English.
24,GFW0001,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le."
25,GFW0001,"Great piece of work, I especially liked a few 'lifehacks' for the CIO"
26,GFW0001,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on"
27,GFW0001,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas"
28,GFW0001,Very interesting and well-designed MOOC !
29,GFW0001,Excellent course! Totally recommended!
30,GFW0001,Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade. Although two of my classmates gave me all passing grades one classmate gave me all 0's and didn't really justify why; which made me have to re submit my assignment. Thankfully 3 other amazing classmates saw the quality of my work :)
31,GFW0002,none
32,GFW0001,Very interesting course. I learned a lot about the history of Aboriginal education.
33,GFW0001,Great content! Learned a lot.
34,GFW0002,tiada
35,GFW0001,"This has been an phenomenal course on the education and worldviews of First Nations people. As an educator in a First Nation's community in Ontario's north, the knowledge in the lectures has been phenomenal."
36,GFW0001,The assessment and tutorials for this course should be revised as the work needed in this course is overburdening
37,GFW0001,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises."
38,GFW0002,N/A
39,GFW0001,Very Basic course for learners without Autocad experiences.
40,GFW0001,Good quality.
41,GFW0001,Thanks.
42,GFW0001,Course is comprehensive and detailed. But is a bit fast paced for people new to IT Finance
43,GFW0001,A very great course for all IT person
44,GFW0002,no comment
45,GFW0001,Kursus ini harus melibat dengan lebih aktiviti praktikal
46,GFW0001,Excellent overview of the ways in which 3D printing is in use and how it may be used in the future.
47,GFW0001,Very well documented course.Assignments are designed such a way that it stimulates you to think out of box.
48,GFW0001,-
49,GFW0001,Very Good Informative Course.!!
50,GFW0001,Excellent course. I completely enjoyed it. Thank you Vishal and team.
51,GFW0001,It opened up my understanding of what could be accomplished with 3D printing
52,GFW0001,"Important information on copy rights, patents, etc."
53,GFW0001,"Progress is in a state of flux, so one must reach out to the best in academia on any particular subject to get a realistic update of technology. This course will help you catch up to design thinking and doing. Get it and do it."
54,GFW0001,A really challenging and enriching course about the amazing world of 3D Printing. In this course you will discover the unimaginable amount of applications that 3D Printing offers and will open your mind in ways you didn't think possible!
55,GFW0001,"This is a really good survey class in the potential of 3d printing, with examples of how individuals can empower themselves and others without the obstacles of traditional tooling, with a relatively short learning curve and low investment. It also demonstrates the ways in which, now and increasingly in the future, we'll all be capable of designing the solutions to our own problems with increasing agility!The only thing that could make it better would be to have more design challenges!Thanks!"
56,GFW0001,"Excellent course , enjoyed learning :)"
57,GFW0001,Great course and very informative.
58,GFW0002,-
59,GFW0001,I'll start by saying that this course gives a good insight into a wide variety of applications of 3D printing. There are lots of interviews with people who have or are leveraging additive manufacturing in original and effective ways. The last week of the course also introduces an interesting and seemingly effective framework for design thinking.The reason that I've only rated 3 stars however is that the only useful thing you learn in this course is the design thinking framework. I think that it would be better if these videos were scattered throughout the rest of the specialisation. I do see value in including this material in the specialisation but not as an outright course.
