No.,Subject,Group,Section,Review,Sentiment,Score,Sentiment_Score
1,GFW0001,1,A - A1,tiada,positive,0.66110009,4
2,GFW0001,1,A - A1,Hackathon pitching is good but still lack of knowledge for me. I expected to learn and physically feel more about AI and its real application.,negative,0.060163397,1
3,GFW0001,1,A - A1,Thank you Prof for being kind with our submission on weekly tutorial but i hope the tutorial will be less hard since we are burdened with other task,positive,0.907253444,5
4,GFW0001,1,B - B1,tiada,positive,0.66110009,4
5,GFW0001,1,B - B1,"With the various background of students, lecturer should guide all students if they ask for help. Not telling them that it is easy and then letting them learn it alone and burden them with the tasks.",positive,0.8716169,5
6,GFW0001,1,B - B1,Tutorial by doing video is quite burden for me. Can replace it with other fun activity like test some application of AI. Can make a tournament playing chess VS AI. It's fun not boring like doing video,neutral,0.560735643,3
7,GFW0001,1,C - C1,tiada,positive,0.66110009,4
8,GFW0001,1,C - C1,Can held a physical class once in month. Online is already good but will fun to have physical class once in SEM.,neutral,0.532246947,3
9,GFW0001,2,A - A1,The tutorials and assignments are quite burdening for an elective course,positive,0.743488312,4
10,GFW0001,2,A - A1,The assessment and tutorials for this course should be revised as the work needed in this course is overburdening. We didn't want to put much work for a SHE course.,negative,0.230552971,2
11,GFW0001,2,A - A1,I think more practical skills should be implemented instead of only theoretical knowledge. I do hope that there will be less class activities and assignments as it is overburdening over weeks.,neutral,0.493648708,3
12,GFW0001,2,B - B1,The coursework is reduced,positive,0.619807601,4
13,GFW0001,2,B - B1,"The class activities should be easier and not burdening for students, especially during test and assignment peaks. Tutorials are ok but not every task with recording of video and preparing slides.",neutral,0.26132071,2
14,GFW0001,2,C - C1,"Less assignments, clearer instructions.",neutral,0.479582012,3
15,GFW0001,2,C - C1,Nothing,positive,0.616315246,4
16,GFW0001,1M,A - A1,N/A,positive,0.672459662,4
17,GFW0001,1M,B - B1,N/A,positive,0.672459662,4
18,GFW0001,1M,C - C1,N/A,positive,0.672459662,4
19,GFW0001,4,A - A1,tutorials kinda burdening for a two credit hours course,positive,0.666772664,4
20,GFW0001,4,A - A1,Kesemua assignment dan tutorial yang diberikan sangat membebankan saya. Assignment subjek ini lebih banyak dan susah darpida subjek teras saya sedangkan subjek SHE ini sepatutnya membantu pointer saya,neutral,0.553473473,3
21,GFW0001,4,A - A1,Tutorial setiap minggu tidak relevan,positive,0.66110009,4
22,GFW0001,4,A - A1,"Tutorial terlalu banyak. Tutorial 2 tidak relevan. Kurangkan Penilaian Berterusan kepada 1 pembentangan, 1 proposal, 1 video pitching & 2 test. Tidak perlu buat Pitching competition.",positive,0.685597181,4
23,GFW0001,4,C - C1,Saya merasakan bahawa tugasan yang diberikan oleh kursus ni sangat membebankan seperti tutorial-tutorial yang perlu dihantar pada setiap minggu. Saya mecadangkan untuk tidak memberi banyak tugasan,positive,0.638433933,4
24,GFW0001,4,C - C1,Kurangkan assignment dan tutorial yang susah dan complicated,positive,0.636700213,4
25,GFW0001,3,A - A1,"Hopefully can reduce the workload. There's too much weekly tutorials, and the prototype assignments (video, report, presentation)",neutral,0.514742494,3
26,GFW0001,3,A - A1,Tugasan yang diberikan agak membebankan pelajar dan sukar untuk memahami arahan dengan baik.,positive,0.657249153,4
27,GFW0001,3,A - A1,"The course is hard for beginner , my background is not from AI . SHE course patut labih beginner friendly",negative,0.127471894,1
28,GFW0001,3,A - A1,The assessment workload of the course is overburdening for an elective subject. That one time the instruction was given last minute regarding the presentation video also shows that it is unorganized.,positive,0.746234953,4
29,GFW0001,3,A - A1,Hackathon should be after we have knowlegde of AI systems,positive,0.718248844,4
30,GFW0001,3,A - A1,I think the course assignments and group projects are too heavy for a SHE course,positive,0.745270252,4
31,GFW0001,3,A - A1,-,positive,0.66110009,4
32,GFW0001,3,A - A1,assignment dan tutorial terlalu membebankan untuk hanya subject she,positive,0.661159813,4
33,GFW0001,3,A - A1,Tugasan bagi kursus ini perlu dikurangkan kerana terlalu banyak serta kandungan yang diperlukan di dalam tugasan memerlukan ilmu yang terlalu mendalam tentang bidang ini dan sukar.,positive,0.661100447,4
34,GFW0001,3,A - A1,"Reduce workload, perhaps tutorials on alternating weeks. Or tutorials ends by week 10",positive,0.667682767,4
35,GFW0001,3,A - A1,slightly heavy for a kelf,positive,0.713444591,4
36,GFW0001,3,A - A1,I think it would be better if the amount of assignments can be reduced a bit since this is a faculty external elective. Most of the students taking this course are final year students.,positive,0.712729573,4
37,GFW0001,3,B - B1,-,positive,0.66110009,4
38,GFW0001,3,B - B1,If the lecturer is more lenient in course evaluation. The assessments are unfair because the lecturer expects students to do everything per the schedule and punishes them with 0 marks when they cannot,positive,0.643185079,4
39,GFW0001,3,B - B1,I'm sorry but why do you have to give weekly assignments? I don't see the purpose than adding more stress.,negative,0.006567147,1
40,GFW0001,3,B - B1,-,positive,0.66110009,4
41,GFW0001,3,B - B1,perlu menarik minat pelajar course lain bukan menambah kerja,positive,0.726460218,4
42,GFW0001,3,B - B1,Tugasan terlalu memerlukan pengetahuan mendalam dalam bidang ini tidak selari dengan tajuk kursus kerana kandungan tugasan yang membuatkan pelajar keliru bagaimana hendak menyiapkan tugasan,positive,0.668737769,4
43,GFW0001,3,C - C1,-,positive,0.66110009,4
44,GFW0001,3,C - C1,"We know what the continues assessments are and their marks, but still, it is really burdensome for me when this course gives weekly tutorials that are similar to assignments but got no marks.",negative,0.02890127,1
45,GFW0001,3,C - C1,"Saya tak pernah menggunakan library resources , tidak ada pendedahan kepada itu",negative,0.425259858,2
46,GFW0001,3,C - C1,"It is great that the course's online but it is disappointing that my question was left unanswered in Gmail which is the mean of communication for the course. Also, why close the tutorial submissions?",neutral,0.465868384,3
47,GFW0001,3,C - C1,"This course is more heavy than my core courses,even though it is just supposed to be a 2 credit course",negative,0.273793161,2
48,GFW0001,3,C - C1,"an insane amount of assignments for a kelf course. many students are juggling core courses and this as well, but still no leniency from the lecturer regarding submission dates",negative,0.18442446,1
49,GFW0001,3,C - C1,-,positive,0.66110009,4
50,GFW0001,3,C - C1,"assigment susah ,tiada contoh",neutral,0.588959336,3
51,GFW0001,3,C - C1,pemberian ahli kumpulan secara random juga menyebabkan ada ahli kumpulan dari fakulti lain yang tidak memberi kerjasama yang baik dan tidak memberi respon yang baik ketika menyiapkan tugasan.,positive,0.700185776,4
52,GFW0015,1,A - A1,I love the course itself. And the lecture is very kind. But sometimes maybe it's necessary to give us heads up about his absence.,positive,0.926321208,5
53,GFW0015,1,A - A1,Nice,positive,0.830548525,5
54,GFW0015,1,B - B1,Nice,positive,0.830548525,5
55,GFW0015,1,C - C1,Nice,positive,0.830548525,5
56,GFW0016,3,A - A1,Buat satu tugasan melibatkan pelajar perlu menonton satu filem dan berikan ulasan tentang filem tersebut.,positive,0.605449557,4
57,GFW0016,3,B - B1,Beri maklum balas kepada pelajar dengan lebih baik dan jelas,positive,0.666836917,4
58,GFW0016,1,C - C1,Very good lecturer and passionate in teaching this subject,positive,0.722882986,4
59,GFW0016,1,C - C1,meningkaykan capaian Wifi UM,positive,0.707331896,4
60,GFW0016,2,A - A1,"A confidential peer evaluation would be helpful. Some teammates are just unresponsive, and some put in their all to contribute and lead the work. A part of grades should be based on it too.",positive,0.920609474,5
61,GFW0016,2,A - A1,Critical analysis of films-can including on how to define a good movie,positive,0.893540144,5
62,GFW0016,2,B - B1,can reduce unnecessarily presentation,positive,0.631728947,4
63,GFW0018,4,A - A1,Tiada,positive,0.66110009,4
64,GFW0018,4,A - A1,"suggest for the coordinator to standardise their teaching schedule. For assessment , suggest to reduce the number of tests as it is burdening when the lecturer did not cover syllabus completely.",negative,0.289688408,2
65,GFW0018,4,B - B1,nothing changed. Dr. Miss Laiha explained very well and her classes are never boring.,negative,0.440680653,2
66,GFW0018,4,B - B1,Tiada,positive,0.66110009,4
67,GFW0018,4,C - C1,Tiada,positive,0.66110009,4
68,GFW0018,1,A - A1,TIADA,positive,0.66110009,4
69,GFW0018,1,B - B1,TIADA,positive,0.66110009,4
70,GFW0018,1,B - B1,The lecturer is a very nice man. Please give him more tools to teach effectively.,positive,0.911298394,5
71,GFW0018,1,C - C1,TIADA,positive,0.66110009,4
72,GFW0018,2,A - A1,-,positive,0.66110009,4
73,GFW0018,2,B - B1,-,positive,0.66110009,4
74,GFW0018,2,C - C1,-,positive,0.66110009,4
75,GFW0018,3,A - A1,Lecturer doesn't explain assignment well,negative,0.391002506,2
76,GFW0018,3,B - B1,Lecturer doesn't explain assignment well,negative,0.391002506,2
77,GFW0031,1,A - A1,,positive,0.66110009,4
78,GFW0031,1,A - A1,Physical class,neutral,0.587921381,3
79,GFW0031,1,A - A1,sediakan nota yang lebih banyak,positive,0.625727355,4
80,GFW0031,1,A - A1,Okay,positive,0.681684256,4
81,GFW0031,1,A - A1,Pembelajaran mungkin tidak berapa sesuai dengan beginner,positive,0.66110009,4
82,GFW0031,1,B - B1,Kursus ini dilakukan secara bersemuka,positive,0.672524035,4
83,GFW0031,1,B - B1,Presentation session,positive,0.66110009,4
84,GFW0031,1,B - B1,tiada,positive,0.66110009,4
85,GFW0031,1,B - B1,Okay,positive,0.681684256,4
86,GFW0031,1,B - B1,/,positive,0.66110009,4
87,GFW0031,1,B - B1,the lecturer could use the slides less as it felt like the lecturer was only reading from the slides. But the lecturer does elaborate on certain points.,negative,0.353032768,2
88,GFW0031,1,C - C1,subjek yang menyeronokkan tetapi sepatutnya tugasan diberikan dengan arahan yang jelas dan terperinci lebih awal lagi,positive,0.637690663,4
89,GFW0031,1,C - C1,tiada,positive,0.66110009,4
