No.,Subject,Sentiment,Sentiment_Score,preprocessed_text
1,GFW0001,positive,4,none
2,GFW0001,negative,1,hackathon pitch good still lack knowledge expect learn physically feel ai real application
3,GFW0001,positive,5,thank prof kind submission weekly tutorial hope tutorial less hard since burden task
4,GFW0001,positive,4,none
5,GFW0001,positive,5,various background student lecturer guide student ask help not_telling easy let learn alone burden task
6,GFW0001,neutral,3,tutorial video quite burden replace fun activity like test application ai make tournament playing chess v ai fun not_boring like video
7,GFW0001,positive,4,none
8,GFW0001,neutral,3,hold physical class month online already good fun physical class sem
9,GFW0001,positive,4,tutorial assignment quite burdensome elective course
10,GFW0001,negative,2,assessment tutorial course revise work need course overburden didnt want put much work course
11,GFW0001,neutral,3,think practical skill implement instead theoretical knowledge hope less class activity assignment overburden week
12,GFW0001,positive,4,coursework reduce
13,GFW0001,neutral,2,class activity easier not_burdensome student especially test assignment peak tutorial ok not_every task record video prepare slide
14,GFW0001,neutral,3,less assignment clearer instruction
15,GFW0001,positive,4,nothing
19,GFW0001,positive,4,tutorial kinda burden two credit hour course
20,GFW0001,neutral,3,assignment tutorial give burdensome assignment subject difficult core subject whereas subject help pointer
21,GFW0001,positive,4,weekly tutorial irrelevant
22,GFW0001,positive,4,many tutorial tutorial 2 not_relevant reduce continuous assessment 1 presentation 1 proposal 1 pitch video 2 test not_need pitch competition
23,GFW0001,positive,4,feel assignment give course burdensome like tutorial need send every week suggest not_to multitask
24,GFW0001,positive,4,reduce difficult complicate assignment tutorial
25,GFW0001,neutral,3,hopefully reduce workload there many weekly tutorial prototype assignment video report presentation
26,GFW0001,positive,4,assignment give quite burdensome student difficult understand instruction well
27,GFW0001,negative,1,course hard beginner background not_from ai course beginner friendly
28,GFW0001,positive,4,assessment workload course overburden elective subject one time instruction give last minute regard presentation video also show unorganized
29,GFW0001,positive,4,hackathon knowledge ai system
30,GFW0001,positive,4,think course assignment group project heavy course
31,GFW0001,positive,4,
32,GFW0001,positive,4,assignment tutorial burdensome subject
33,GFW0001,positive,4,assignment course need reduce many content require assignment require deep knowledge field difficult
34,GFW0001,positive,4,reduce workload perhaps tutorial alternate week tutorial end week 10
35,GFW0001,positive,4,slightly heavy calf
36,GFW0001,positive,4,think would better amount assignment could reduce bit since faculty external elective student take course final year student
37,GFW0001,positive,4,
38,GFW0001,positive,4,lecturer lenient course evaluation assessment unfair lecturer expect student everything per schedule punishes 0 mark
39,GFW0001,negative,1,im sorry give weekly assignment dont see purpose add stress
